SCH_NAME,LCITY,LZIP
Alhambra High,Alhambra,91801
Mark Keppel High,Alhambra,91801
San Gabriel High,San Gabriel,91776
Independence High (Alternative),Alhambra,91801
Brightwood Elementary,Monterey Park,91754
Emery Park Elementary,Alhambra,91803
Fremont Elementary,Alhambra,91803
Garfield Elementary,Alhambra,91801
Granada Elementary,Alhambra,91801
Marguerita Elementary,Alhambra,91803
Martha Baldwin Elementary,Alhambra,91801
Monterey Highlands Elementary,Monterey Park,91754
Park Elementary,Alhambra,91801
Ramona Elementary,Alhambra,91803
Repetto Elementary,Monterey Park,91754
William Northrup Elementary,Alhambra,91801
Ynez Elementary,Monterey Park,91754
Mono County ROP,Bridgeport,93517
John H. Pitman High,Turlock,95382
Roselawn High,Turlock,95380
Turlock High,Turlock,95380
Turlock Junior High,Turlock,95382
Crowell Elementary,Turlock,95382
Cunningham Elementary,Turlock,95380
Julien Elementary,Turlock,95380
Osborn Two-Way Immersion Academy,Turlock,95380
Wakefield Elementary,Turlock,95380
Walter M. Brown Elementary,Turlock,95382
Dennis G. Earl Elementary,Turlock,95382
Marvin A. Dutcher Middle,Turlock,95380
Sandra Tovar Medeiros Elementary,Turlock,95382
Walnut Elementary Education Center,Turlock,95382
Etna Elementary,Etna,96027
Etna Union High,Etna,96027
Fort Jones Elementary,Fort Jones,96032
Scott River High,Etna,96027
Scott Valley Junior High,Fort Jones,96032
Scott Valley Community Day,Fort Jones,96032
Coarsegold Elementary,Coarsegold,93614
Yosemite High,Oakhurst,93644
Meadowbrook Community Day,Coarsegold,93614
Ahwahnee High,Oakhurst,93644
Raymond Granite High,Raymond,93653
Rivergold Elementary,Coarsegold,93614
Evergreen High,Oakhurst,93644
Yosemite Falls Education Center,Oakhurst,93644
Campbell High Community Day,Oakhurst,93644
Cox Bar Elementary,Big Bar,96010
Alps View High (Continuation),Weaverville,96093
Trinity High,Weaverville,96093
Weaverville Elementary,Weaverville,96093
Del Paso Heights Elementary,Sacramento,95838
Fairbanks Elementary,Sacramento,95838
Foothill Ranch Middle,Sacramento,95842
Foothill High,Sacramento,95842
Grant Union High,Sacramento,95838
Highlands High,North Highlands,95660
Rio Linda High,Rio Linda,95673
Rio Linda Preparatory Academy,Rio Linda,95673
Rio Tierra Junior High,Sacramento,95833
Foothill Oaks Elementary,Sacramento,95842
Smythe Academy of Arts and Sciences,Sacramento,95833
D. W. Babcock Elementary,Sacramento,95815
Hagginwood Elementary,Sacramento,95815
Harmon Johnson Elementary,Sacramento,95815
Hazel Strauch Elementary,Sacramento,95833
Michael J. Castori Elementary,Sacramento,95838
Noralto Elementary,Sacramento,95815
Northwood Elementary,Sacramento,95815
Woodlake Elementary,Sacramento,95815
Westside Preparatory Charter,Rio Linda,95673
Warren A. Allison Elementary,North Highlands,95660
Dry Creek Elementary,Rio Linda,95673
Frederick Joyce Elementary,North Highlands,95660
Frontier Elementary,Sacramento,95842
Hillsdale Elementary,North Highlands,95660
Kohler Elementary,North Highlands,95660
Madison Elementary,North Highlands,95660
Oakdale Elementary,North Highlands,95660
Orchard Elementary,Rio Linda,95673
Pioneer Elementary,Sacramento,95841
Sierra View Elementary,North Highlands,95660
Village Elementary,North Highlands,95660
Woodridge Elementary,Sacramento,95842
Elwood J. Keema High,Sacramento,95838
Pacific Career and Technology High,North Highlands,95660
Miles P. Richmond,North Highlands,95660
Martin Luther King Jr. Technology Academy,Sacramento,95815
Garden Valley Elementary,Sacramento,95834
Ridgepoint Elementary,Sacramento,95842
Westside Elementary,Rio Linda,95673
Morey Avenue Early Childhood Development,Sacramento,95838
Vista Nueva Career and Technology High,Sacramento,95838
Pathways Community Day,North Highlands,95660
Creative Connections Arts Academy,North Highlands,95660
Norwood Junior High,Sacramento,95838
Regency Park Elementary,Sacramento,95835
Nova Opportunity,Sacramento,95838
Hamilton Elementary,Hamilton City,95951
Hamilton High,Hamilton City,95951
Hamilton Community Day,Hamilton City,95951
Ella Barkley High,Hamilton City,95951
North County Regional Occupational Program,Sunnyvale,94087
Elm Street Elementary,Bishop,93514
Home Street Middle,Bishop,93514
Bishop Union High,Bishop,93514
Keith B. Bright High (Juvenile Hall),Bishop,93514
Bishop Elementary,Bishop,93514
Palisade Glacier High (Continuation),Big Pine,93513
Bishop Union Elementary Community Day,Bishop,93514
Bishop Union Elementary Community Day II,Bishop,93514
Bishop Independent Study,Big Pine,93513
Community Day School III,Bishop,93514
Lammersville Elementary,Tracy,95304
Wicklund Elementary,Mountain House,95391
Bethany Elementary,Mountain House,95391
Sebastian Questa Elementary,Mountain House,95391
Mountain House High,Mountain House,95391
Altamont Elementary,Mountain House,95391
Hansen Elementary,Mountain House,95391
Santa Barbara Charter,Goleta,93117
Adams Elementary,Santa Barbara,93105
Cleveland Elementary,Santa Barbara,93103
Dos Pueblos Senior High,Goleta,93117
Franklin Elementary,Santa Barbara,93103
